Vol,Dense,nHA,nHD,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,GSK,GoldenTriangle,logS,logD,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,SkinSen,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
427.8876283,0.974812012,1,1,3,268,10,3,0,28,0.107142857,2,0,0.353,2.918,0.154,81.667,-0.371,1,0,-7.296839395,4.48909482,130.1640958,368.9641971,10.04807204,4.040141803,-4.865183464,-4.799494999,0.019433374,0.542943001,0.106572099,0.00000119,0.000196636,0.019846082,0.717329234,0.862942874,0.891788423,0.179963559,0.999991894,0.9966169,0.364396334,98.615913,0.627220543,0.590073919,0.995159566,0.967252433,0.997926116,0.989267409,0.913090169,0.966053843,0.995975077,0.467473119,0.890329301,0.999722183,0.999975085,0.029535981,0.999974728,0.972043276,6.591518298,0.468818635,3.356073355,4.732817766,6.48069511,6.234870852,0.832719505,0.798635602,0.984468758,0.874364913,0.944273353,0.617329717,0.406431764,0.955857277,0.967812538,0.167083472,0.993531287,0.937603056,0.983531237,0.13706252,0.085678078,0.74940294,0.813900113,0.187205806,0.160442352,0.963723063,0.220339641,0.890774131,0.999538183,0.922887087,1,0.996,0.485,0.829,0.07,0.461,0.103
389.8290494,0.977633659,1,1,3,268,10,3,0,23,0.130434783,2,0,0.498,2.847,0.217,69,-0.479,1,0,-7.462821932,4.887158033,99.03398943,353.4602923,10.29687243,3.901850111,-4.88189596,-4.81115961,0.005505573,0.998936713,0.05891471,0.000000238,0.000684857,0.020778716,0.714958012,0.996206164,0.991454482,0.044488944,0.999999642,0.999949455,0.786161184,98.62856006,0.837614884,0.98979206,0.999600112,0.999574363,0.999999523,0.999227166,0.997597158,0.448209375,0.996882558,0.063483328,0.997980416,0.999998331,0.999999881,0.838863134,0.999927163,0.995690167,6.061849278,0.346384576,3.041577125,4.812443866,6.316287475,6.015923334,0.880887687,0.993128061,0.926639497,0.960965395,0.850599825,0.670685589,0.571291506,0.996113777,0.868704081,0.182162002,0.950686455,0.963729262,0.959366739,0.1294761,0.025570648,0.167981029,0.855308354,0.134341478,0.025786851,0.851639807,0.106941149,0.861911774,0.99769789,0.800229073,1,0.85,0.151,0.789,0.028,0.439,0.048
398.6192764,0.996188653,2,1,4,268,10,4,0,23,0.173913043,2,0,0.507,2.848,0.217,69,-0.368,1,0,-7.439832543,4.820745916,96.73894888,361.5553105,10.50486267,3.815714305,-4.861032355,-4.810407515,0.003048979,0.996497989,0.045967527,0.00000513,0.001367033,0.042313814,0.878322646,0.994750798,0.99805057,0.25379318,0.99999404,0.99965024,0.449194044,98.97414857,0.823922019,0.745286973,0.998277426,0.999679089,0.999997139,0.999924302,0.987972736,0.954612315,0.992099702,0.90602833,0.997785926,0.999971151,0.999904633,0.939169347,0.999979854,0.993192971,7.113909705,0.297754792,2.997947464,4.75055775,6.670618518,6.159291233,0.894814909,0.949237347,0.935776234,0.939208448,0.847797155,0.649612665,0.591905832,0.994560182,0.724951982,0.183159441,0.929747343,0.964160025,0.947025716,0.280625463,0.103018969,0.450701326,0.847400904,0.207702249,0.122660324,0.917766333,0.30833593,0.833758116,0.997761488,0.939586222,1,0.883,0.129,0.905,0.024,0.114,0.094
398.6192764,0.996188653,2,1,4,268,10,4,0,23,0.173913043,2,0,0.507,2.892,0.217,69,-0.511,1,0,-7.474840241,4.831598748,95.02437352,361.8844012,10.47814395,3.73427199,-4.895348866,-4.806782597,0.000889279,0.997352719,0.076812461,0.00000215,0.000673294,0.040961206,0.926029325,0.999324679,0.99973315,0.717481852,0.999999642,0.998783767,0.778371036,98.87437178,0.724502518,0.836561177,0.996308863,0.97192353,0.999999642,0.999969602,0.995057225,0.582815707,0.999966025,0.304330587,0.752818048,0.999999166,0.999997377,0.990524828,0.999240875,0.984865189,6.546961544,0.342415357,3.076039901,4.729434215,6.543768903,6.11969627,0.883059263,0.932190418,0.900584519,0.939112782,0.855070472,0.616422892,0.550315559,0.99276948,0.659706712,0.171795636,0.934003532,0.956392527,0.934255064,0.08307486,0.017241938,0.312073171,0.805164814,0.169415429,0.012387588,0.833402038,0.046350639,0.653717339,0.998950839,0.822847188,1,0.775,0.175,0.877,0.019,0.164,0.11
398.8530444,1.03065529,3,1,3,268,10,5,0,27,0.111111111,2,0,0.513,3.057,0.217,83.929,-0.348,1,0,-6.553537012,4.229483078,123.0457695,347.8029834,9.214989906,3.8107406,-4.907730339,-4.731357825,0.019106595,0.441964388,0.011251131,0.000000119,0.00017637,0.000112414,0.614975303,0.677761197,0.770609796,0.019158754,0.999998689,0.999834538,0.293891937,98.86928045,0.60215675,0.824483359,0.99984777,0.999539375,0.999693871,0.998958826,0.97550869,0.97069943,0.999999762,0.984658718,0.999995351,0.994815886,1,0.363046855,0.97873497,0.940075338,4.251599736,0.659030164,2.807720361,4.566098472,6.30638475,5.616592935,0.788586497,0.882964909,0.979783773,0.832230985,0.87755245,0.54133743,0.436262727,0.935632944,0.948102713,0.188146606,0.985603333,0.932163894,0.99166441,0.130644903,0.175070539,0.732409537,0.61540097,0.203844219,0.043768868,0.962950766,0.281331509,0.926284552,0.999099851,0.96887958,1,0.953,0.189,0.89,0.008,0.237,0.47
424.7054886,1.005661597,3,1,5,268,10,5,0,23,0.217391304,2,0,0.471,2.935,0.25,71.867,-0.363,1,0,-7.084327017,4.547721711,111.5706534,360.6838524,10.16522662,4.199435661,-4.866972278,-4.848338962,0.002087445,0.99588865,0.065732203,0.00000179,0.000976801,0.01586771,0.899954766,0.998545051,0.999638915,0.721329868,0.999999523,0.999344766,0.875383556,99.04490147,0.774128537,0.807417221,0.956317842,0.996034682,0.999994993,0.999988317,0.961606622,0.441078633,0.998203754,0.683594882,0.88036561,0.999999642,0.999946117,0.978318095,0.999990225,0.985253155,5.398822649,0.653622018,3.016722701,4.665801702,6.259155875,5.736013661,0.845419586,0.910602927,0.89253974,0.918890893,0.859116733,0.590149641,0.553699791,0.983463943,0.455397606,0.152106851,0.918658733,0.935979664,0.968733668,0.152130589,0.011461345,0.113921314,0.684412003,0.050083376,0.004435873,0.758003652,0.093612783,0.523822069,0.994833708,0.803770483,1,0.772,0.163,0.944,0.008,0.165,0.199
408.0317263,1.066289634,1,1,4,268,10,6,0,23,0.173913043,2,0,0.438,3.031,0.217,78.857,-0.754,1,1,-7.804816467,5.128090089,107.0782871,354.7434819,10.29787151,3.875597359,-5.089562757,-4.812821658,0.00614622,0.999905467,0.105089039,0.000000358,0.000834584,0.022649169,0.278282642,0.995657563,0.997825027,0.061997022,0.999998212,0.99998498,0.899845123,99.00078103,0.960302541,0.537940788,0.99980408,0.999512434,0.999999046,0.989753962,0.998345017,0.001785171,0.999990582,0.057131499,0.847726643,0.999996662,0.999968529,0.100778997,0.999990582,0.897674561,7.311655228,0.531148631,3.468092585,4.471700126,6.682975756,6.04238121,0.899997532,0.764989436,0.92882967,0.961350381,0.898149252,0.76771456,0.45871976,0.994907796,0.97090292,0.142586321,0.983699203,0.972541153,0.67731005,0.150186181,0.049589463,0.48210004,0.791986048,0.242074847,0.026094854,0.921071589,0.042493228,0.421947151,0.998477042,0.900170922,1,0.627,0.026,0.768,0.028,0.027,0.091
407.1250347,0.970512659,1,1,3,268,10,3,0,23,0.130434783,2,0,0.478,2.93,0.25,71.867,-0.629,1,1,-8.003864386,5.085907674,99.33873465,365.2568398,11.07910328,3.826333932,-4.84340276,-4.801871656,0.005633798,0.998208523,0.088323899,0.000000119,0.000881374,0.024159849,0.900194392,0.999178827,0.997492433,0.064921923,0.999999881,0.999941587,0.925020456,99.02446981,0.844795943,0.635453425,0.999955177,0.999752462,1,0.999889493,0.995007992,0.155514225,0.999859691,0.02400554,0.996968448,0.999999523,1,0.119849011,0.999999642,0.9949857,6.312945404,0.25255652,3.235156565,4.820106931,6.173259627,6.056828169,0.864378393,0.946270466,0.85787946,0.931574464,0.861999333,0.613536417,0.521946251,0.982288599,0.53760159,0.125327975,0.914602935,0.920131922,0.93870002,0.115331627,0.005787779,0.446967065,0.668910265,0.145437703,0.01298188,0.799247146,0.037513155,0.908416808,0.998102725,0.796560049,1,0.892,0.149,0.645,0.013,0.546,0.052
414.9396556,1.012532773,4,2,7,268,10,6,0,18,0.388888889,2,0,0.593,3.265,0.409,65.161,-0.262,1,0,-6.153247116,4.473812593,112.3230958,343.5175142,10.40960432,5.350496545,-5.064724916,-4.90683927,0.005685427,0.991143227,0.153431922,0.000000715,0.000690103,0.058465302,0.902148955,0.9450351,0.990347505,0.037096173,0.999804318,0.99998188,0.232944056,98.38749141,0.303435118,1.309641866,0.186284184,0.876396775,0.999927282,0.999970317,0.979813337,0.785833895,0.999365151,0.859860837,0.238355413,0.994824767,0.998429239,0.702073216,0.880280375,0.998197019,7.002750078,0.388065087,2.68498656,4.455359512,6.433467891,5.777963927,0.914776027,0.949786663,0.903319418,0.995432973,0.974561036,0.933304727,0.547346413,0.99809438,0.995054007,0.09015929,0.769700468,0.904172063,0.054033536,0.001322947,0.001591767,0.008609986,0.264202714,0.005555489,7.81E-05,0.820179701,0.000412658,0.00048142,0.674362063,0.022208342,0.993,0.305,0.01,0.883,0.006,0.026,0.031
449.531626,0.996971012,4,2,9,268,10,6,0,18,0.5,2,0,0.498,3.143,0.458,64.571,-0.406,1,0,-5.458363822,4.350740328,123.5923149,337.4189003,10.96689814,7.201038263,-4.95764853,-4.945646796,0.005919756,0.992917836,0.942385077,0.000000954,0.000850797,0.004936159,0.930134706,0.513973832,0.869252205,0.041940771,0.99996376,0.999868274,0.273348004,98.60682324,0.308688127,1.211741229,0.070567898,0.494210005,0.999995232,0.998187482,0.998009503,0.066630848,0.954804003,0.316911459,0.553262889,0.999313474,0.997837484,0.988535583,0.988336504,0.999568284,6.807171745,0.298935081,2.685709713,4.312702539,6.255806902,5.608215939,0.929133356,0.97779274,0.534398913,0.986292958,0.956898093,0.908168793,0.531753659,0.997832119,0.947328806,0.058326613,0.882895291,0.941119015,0.245561734,0.02053093,0.047788464,0.150989369,0.059516892,0.006448316,0.001711852,0.917993903,0.005861069,0.056761347,0.944595277,0.389740735,0.993,0.319,0.008,0.87,0.003,0.056,0.036
